ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0418,Bacillariophyta,Fragilariophyceae,Cyclophoraceae,Astrosyne,radiata,13vi08-1A,Yes,No,No,Matt Ashworth
MMETSP0419,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,sp.,GSL018,Yes,Yes,No,SARAH D'ADAMO
MMETSP0420,Unknown,Lobosa,Vannellidae,Pessonella,sp.,,No,No,No,Laura Katz
MMETSP0434,Ciliophora,Spirotrichea,Ptychocylididae,Favella,taraikaensis previously identified as ehrenbergii,Fe Narragansett Bay,Yes,No,No,Susanne Menden-Deuer
MMETSP0436,Ciliophora,Spirotrichea,Ptychocylididae,Favella,taraikaensis previously identified as ehrenbergii,Fe Narragansett Bay,Yes,No,No,Susanne Menden-Deuer
MMETSP0437,Unknown,Lobosa,Difflugiidae,Sexangularia,sp.,,No,No,No,Laura Katz
MMETSP0439,Unknown,Unknown,Stereomyxidae,Stereomyxa,ramosa,Chinc5,No,No,No,Laura Katz
MMETSP0447,Unknown,Unknown,Unknown,Stygamoeba,regulata,BSH-02190019,No,No,No,Laura Katz
MMETSP0448,Dinophyta,Dinophyceae,Heterocapsaceae,Heterocapsa,triquestra,CCMP 448,Yes,No,No,Susanne Menden-Deuer
MMETSP0449,Ciliophora,Spirotrichea,Strombidiidae,Strombidium,rassoulzadegani,ras09,No,No,No,George McManus
MMETSP0451,Dinophyta,Dinophyceae,Oxyrrhinaceae,Oxyrrhis,marina,CCMP1795,Unknown,Unknown,Yes,Senjie Lin
MMETSP0463,Ciliophora,Spirotrichea,Strombidinopsidae,Strombidinopsis,sp,SopsisLIS2011,Unknown,No,No,George McManus
MMETSP0467,Ciliophora,Litostomatea,Mesodiniidae,Mesodinium,pulex,SPMC105,Unknown,No,No,George McManus
MMETSP0472,Ciliophora,Prostomatea,Colepidae,Tiarina,fusus,TfusLIS,No,No,No,George McManus
MMETSP0484,Cryptophyta,Cryptophyceae,Pyrenomonadaceae,Rhodomonas,lens,RHODO,Unknown,No,No,George McManus
MMETSP0491,Chlorophyta,Prasinophyceae,Chlorodendraceae,Tetraselmis,chuii,PLY429,Unknown,No,No,George McManus
MMETSP0503,Dinophyta,Dinophyceae,Heterocapsaceae,Heterocapsa,rotundata,SCCAP K-0483,No,No,No,George McManus
MMETSP0527,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP3,Yes,No,No,Lisa Campbell
MMETSP0528,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP3,Yes,No,No,Lisa Campbell
MMETSP0562,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No,Tatiana Rynearson
MMETSP0563,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,dohrnii,SkelB,Yes,No,No,Tatiana Rynearson
MMETSP0573,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP1,Yes,No,No,Lisa Campbell
MMETSP0574,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,SP1,Yes,No,No,Lisa Campbell
MMETSP0580,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniaceae,Dactyliosolen,fragilissimus,,Yes,Yes,No,Robert Olson
MMETSP0595,Haptophyta,Prymnesiophyceae,Isochrysidaceae,Isochrysis,galbana,CCMP1323,Yes,No,No,Susanne Menden-Deuer
MMETSP0603,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No,Tatiana Rynearson
MMETSP0604,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Skeletonema,menzelii,CCMP793,Yes,No,No,Tatiana Rynearson
MMETSP0648,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Yes,No,No,Lisa Campbell
MMETSP0649,Dinophyta,Dinophyceae,Gymnodiniaceae,Karenia,brevis,Wilson,Yes,No,No,Lisa Campbell
MMETSP0689,Dinophyta,Dinophyceae,Gymnodiniaceae,Amphidinium,massartii,CS-259,Yes,No,No,Shauna Murray
MMETSP0696,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0697,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0698,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0699,Bacillariophyta,Coscinodiscophyceae,Cymatosiraceae,Extubocellulus,spinifer,CCMP396,Yes,Yes,No,Sarah Smith
MMETSP0705,Bacillariophyta,Fragilariophyceae,Fragilariaceae,Asterionellopsis,glacialis,CCMP134,Yes,No,No,Sarah Smith
